"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jun 2022 09:52:45.671,349.545,-25.168,1820.036193
1 Jun 2022 09:53:45.000,345.234,-28.483,1432.140398
1 Jun 2022 09:54:45.000,336.922,-35.222,1071.096368
1 Jun 2022 09:55:45.000,316.848,-47.361,788.137275
1 Jun 2022 09:56:45.000,265.941,-55.703,689.015786
1 Jun 2022 09:57:45.000,222.673,-44.136,841.614214
1 Jun 2022 09:58:45.000,206.687,-33.261,1149.146730
1 Jun 2022 09:59:45.000,199.672,-27.500,1519.351064
1 Jun 2022 10:00:34.503,196.400,-25.032,1844.743663
1 Jun 2022 21:31:20.125,345.704,-25.031,1844.837819
1 Jun 2022 21:32:20.000,342.169,-28.282,1448.763706
1 Jun 2022 21:33:20.000,335.347,-35.013,1078.723870
1 Jun 2022 21:34:20.000,318.222,-48.060,777.881118
1 Jun 2022 21:35:20.000,264.810,-60.079,652.692395
1 Jun 2022 21:36:20.000,214.069,-47.098,792.114715
1 Jun 2022 21:37:20.000,197.987,-34.465,1099.467541
1 Jun 2022 21:38:20.000,191.437,-28.007,1472.382772
1 Jun 2022 21:39:12.431,188.321,-25.169,1819.952069
2 Jun 2022 09:49:28.294,349.856,-25.168,1820.023348
2 Jun 2022 09:50:28.000,345.604,-28.521,1429.061102
2 Jun 2022 09:51:28.000,337.419,-35.330,1067.201846
2 Jun 2022 09:52:28.000,317.451,-47.695,783.189238
2 Jun 2022 09:53:28.000,265.670,-56.270,683.806764
2 Jun 2022 09:54:28.000,221.984,-44.347,837.770579
2 Jun 2022 09:55:28.000,206.190,-33.318,1146.669985
2 Jun 2022 09:56:28.000,199.306,-27.516,1517.755881
2 Jun 2022 09:57:17.671,196.093,-25.032,1844.757640
2 Jun 2022 21:28:03.261,345.399,-25.031,1844.825302
2 Jun 2022 21:29:03.000,341.782,-28.265,1450.197070
2 Jun 2022 21:30:03.000,334.805,-34.951,1081.006302
2 Jun 2022 21:31:03.000,317.431,-47.810,781.494512
2 Jun 2022 21:32:03.000,264.753,-59.440,657.478885
2 Jun 2022 21:33:03.000,214.761,-46.817,796.420340
2 Jun 2022 21:34:03.000,198.486,-34.380,1102.801102
2 Jun 2022 21:35:03.000,191.802,-27.978,1475.021728
2 Jun 2022 21:35:55.102,188.630,-25.169,1819.963061
3 Jun 2022 09:46:10.925,350.166,-25.168,1820.011013
3 Jun 2022 09:47:10.000,346.068,-28.479,1432.418150
3 Jun 2022 09:48:10.000,338.114,-35.280,1068.986220
3 Jun 2022 09:49:10.000,318.606,-47.780,781.936577
3 Jun 2022 09:50:10.000,266.456,-56.905,678.166559
3 Jun 2022 09:51:10.000,221.703,-44.795,829.780842
3 Jun 2022 09:52:10.000,205.850,-33.509,1138.417806
3 Jun 2022 09:53:10.000,199.019,-27.600,1509.744193
3 Jun 2022 09:54:00.833,195.787,-25.032,1844.771392
3 Jun 2022 21:24:46.402,345.094,-25.031,1844.812552
3 Jun 2022 21:25:46.000,341.396,-28.247,1451.677604
3 Jun 2022 21:26:46.000,334.266,-34.888,1083.353310
3 Jun 2022 21:27:46.000,316.655,-47.559,785.192513
3 Jun 2022 21:28:46.000,264.697,-58.810,662.356818
3 Jun 2022 21:29:46.000,215.437,-46.536,800.811599
3 Jun 2022 21:30:46.000,198.980,-34.293,1106.206325
3 Jun 2022 21:31:46.000,192.165,-27.947,1477.719094
3 Jun 2022 21:32:37.765,188.940,-25.168,1819.973992
4 Jun 2022 09:42:53.564,350.477,-25.168,1819.999187
4 Jun 2022 09:43:53.000,346.441,-28.516,1429.467811
4 Jun 2022 09:44:53.000,338.618,-35.385,1065.249785
4 Jun 2022 09:45:53.000,319.242,-48.110,777.166492
4 Jun 2022 09:46:53.000,266.187,-57.493,673.112163
4 Jun 2022 09:47:53.000,220.989,-45.008,826.065556
4 Jun 2022 09:48:53.000,205.345,-33.565,1136.042455
4 Jun 2022 09:49:53.000,198.649,-27.616,1508.225970
4 Jun 2022 09:50:43.990,195.481,-25.032,1844.784922
4 Jun 2022 21:21:29.548,344.789,-25.032,1844.799570
4 Jun 2022 21:22:29.000,341.010,-28.229,1453.205285
4 Jun 2022 21:23:29.000,333.730,-34.824,1085.764580
4 Jun 2022 21:24:29.000,315.893,-47.305,788.974001
4 Jun 2022 21:25:29.000,264.642,-58.190,667.324180
4 Jun 2022 21:26:29.000,216.098,-46.255,805.287010
4 Jun 2022 21:27:29.000,199.471,-34.206,1109.682440
4 Jun 2022 21:28:29.000,192.527,-27.917,1480.474428
4 Jun 2022 21:29:20.419,189.249,-25.168,1819.984667
5 Jun 2022 09:39:36.212,350.787,-25.168,1819.987862
5 Jun 2022 09:40:36.000,346.815,-28.551,1426.577118
5 Jun 2022 09:41:36.000,339.127,-35.488,1061.585496
5 Jun 2022 09:42:36.000,319.895,-48.440,772.479485
5 Jun 2022 09:43:36.000,265.907,-58.090,668.143668
5 Jun 2022 09:44:36.000,220.265,-45.219,822.429063
5 Jun 2022 09:45:36.000,204.837,-33.619,1133.727344
5 Jun 2022 09:46:36.000,198.280,-27.631,1506.751987
5 Jun 2022 09:47:27.142,195.175,-25.032,1844.798231
5 Jun 2022 21:18:12.700,344.483,-25.032,1844.786354
5 Jun 2022 21:19:12.000,340.625,-28.210,1454.780018
5 Jun 2022 21:20:12.000,333.197,-34.758,1088.239729
5 Jun 2022 21:21:12.000,315.145,-47.050,792.837800
5 Jun 2022 21:22:12.000,264.589,-57.580,672.378962
5 Jun 2022 21:23:12.000,216.745,-45.973,809.845114
5 Jun 2022 21:24:12.000,199.957,-34.117,1113.228702
5 Jun 2022 21:25:12.000,192.887,-27.885,1483.287323
5 Jun 2022 21:26:03.066,189.559,-25.168,1819.995867
6 Jun 2022 09:36:18.868,351.096,-25.168,1819.977044
6 Jun 2022 09:37:18.000,347.277,-28.507,1430.162973
6 Jun 2022 09:38:18.000,339.824,-35.429,1063.668371
6 Jun 2022 09:39:18.000,321.092,-48.504,771.591308
6 Jun 2022 09:40:18.000,266.765,-58.755,662.793234
6 Jun 2022 09:41:18.000,219.944,-45.683,814.613978
6 Jun 2022 09:42:18.000,204.481,-33.814,1125.600685
6 Jun 2022 09:43:18.000,197.984,-27.716,1498.835056
6 Jun 2022 09:44:10.287,194.870,-25.032,1844.811322
6 Jun 2022 21:14:55.858,344.177,-25.032,1844.772903
6 Jun 2022 21:15:55.000,340.241,-28.191,1456.401638
6 Jun 2022 21:16:55.000,332.667,-34.691,1090.778300
6 Jun 2022 21:17:55.000,314.410,-46.794,796.782680
6 Jun 2022 21:18:55.000,264.537,-56.979,677.519162
6 Jun 2022 21:19:55.000,217.378,-45.691,814.484479
6 Jun 2022 21:20:55.000,200.439,-34.027,1116.844410
6 Jun 2022 21:21:55.000,193.246,-27.854,1486.157425
6 Jun 2022 21:22:45.705,189.870,-25.168,1820.007595
7 Jun 2022 09:33:01.531,351.406,-25.169,1819.966725
7 Jun 2022 09:34:01.000,347.654,-28.541,1427.402655
7 Jun 2022 09:35:01.000,340.340,-35.528,1060.165570
7 Jun 2022 09:36:01.000,321.779,-48.828,767.090721
7 Jun 2022 09:37:01.000,266.488,-59.373,657.990769
7 Jun 2022 09:38:01.000,219.193,-45.895,811.112549
7 Jun 2022 09:39:01.000,203.965,-33.867,1123.389758
7 Jun 2022 09:40:01.000,197.611,-27.731,1497.439054
7 Jun 2022 09:40:53.428,194.565,-25.031,1844.823487
7 Jun 2022 21:11:39.021,343.871,-25.032,1844.759217
7 Jun 2022 21:12:39.000,339.769,-28.247,1451.687817
7 Jun 2022 21:13:39.000,331.954,-34.772,1087.726723
7 Jun 2022 21:14:39.000,313.190,-46.778,797.033213
7 Jun 2022 21:15:39.000,263.432,-56.364,682.962808
7 Jun 2022 21:16:39.000,217.546,-45.172,823.243652
7 Jun 2022 21:17:39.000,200.745,-33.797,1126.291097
7 Jun 2022 21:18:39.000,193.518,-27.751,1495.519636
7 Jun 2022 21:19:28.335,190.181,-25.168,1820.019853
8 Jun 2022 09:29:44.203,351.714,-25.169,1819.956906
8 Jun 2022 09:30:44.000,348.032,-28.575,1424.702691
8 Jun 2022 09:31:44.000,340.861,-35.626,1056.736682
8 Jun 2022 09:32:44.000,322.484,-49.153,762.677337
8 Jun 2022 09:33:44.000,266.197,-59.999,653.279719
8 Jun 2022 09:34:44.000,218.430,-46.105,807.693073
8 Jun 2022 09:35:44.000,203.447,-33.920,1121.240286
8 Jun 2022 09:36:44.000,197.237,-27.745,1496.087752
8 Jun 2022 09:37:36.563,194.261,-25.031,1844.835129
8 Jun 2022 21:08:22.191,343.564,-25.032,1844.745294
8 Jun 2022 21:09:22.000,339.385,-28.227,1453.414868
8 Jun 2022 21:10:22.000,331.428,-34.701,1090.410325
8 Jun 2022 21:11:22.000,312.481,-46.514,801.163173
8 Jun 2022 21:12:22.000,263.406,-55.783,688.274074
8 Jun 2022 21:13:22.000,218.150,-44.896,828.023833
8 Jun 2022 21:14:22.000,201.216,-33.707,1130.028417
8 Jun 2022 21:15:22.000,193.872,-27.719,1498.492972
8 Jun 2022 21:16:10.957,190.492,-25.168,1820.032641
9 Jun 2022 09:26:26.883,352.023,-25.169,1819.947584
9 Jun 2022 09:27:26.000,348.491,-28.527,1428.516534
9 Jun 2022 09:28:26.000,341.557,-35.558,1059.119603
9 Jun 2022 09:29:26.000,323.721,-49.191,762.164769
9 Jun 2022 09:30:26.000,267.142,-60.695,648.239859
9 Jun 2022 09:31:26.000,218.067,-46.584,800.065784
9 Jun 2022 09:32:26.000,203.073,-34.116,1113.245921
9 Jun 2022 09:33:26.000,196.934,-27.830,1488.269271
9 Jun 2022 09:34:19.692,193.956,-25.031,1844.847627
9 Jun 2022 21:05:05.365,343.257,-25.032,1844.731133
9 Jun 2022 21:06:05.000,339.002,-28.206,1455.188047
9 Jun 2022 21:07:05.000,330.904,-34.629,1093.155822
9 Jun 2022 21:08:05.000,311.786,-46.249,805.370419
9 Jun 2022 21:09:05.000,263.380,-55.211,693.664911
9 Jun 2022 21:10:05.000,218.741,-44.620,832.881225
9 Jun 2022 21:11:05.000,201.682,-33.617,1133.833273
9 Jun 2022 21:12:05.000,194.224,-27.687,1501.522719
9 Jun 2022 21:12:53.571,190.803,-25.168,1820.045961
10 Jun 2022 09:23:09.571,352.331,-25.169,1819.938759
10 Jun 2022 09:24:09.000,348.871,-28.559,1425.946948
10 Jun 2022 09:25:09.000,342.085,-35.652,1055.854202
10 Jun 2022 09:26:09.000,324.461,-49.508,757.945315
10 Jun 2022 09:27:09.000,266.856,-61.343,643.706782
10 Jun 2022 09:28:09.000,217.276,-46.793,796.789114
10 Jun 2022 09:29:09.000,202.547,-34.167,1111.204577
10 Jun 2022 09:30:09.000,196.557,-27.844,1486.998224
10 Jun 2022 09:31:02.818,193.652,-25.031,1844.869180
10 Jun 2022 21:01:48.546,342.949,-25.032,1844.716733
10 Jun 2022 21:02:48.000,338.620,-28.184,1457.006909
10 Jun 2022 21:03:48.000,330.384,-34.556,1095.962507
10 Jun 2022 21:04:48.000,311.104,-45.984,809.653596
10 Jun 2022 21:05:48.000,263.354,-54.649,699.133507
10 Jun 2022 21:06:48.000,219.319,-44.345,837.814677
10 Jun 2022 21:07:48.000,202.144,-33.526,1137.705252
10 Jun 2022 21:08:48.000,194.574,-27.654,1504.608830
10 Jun 2022 21:09:36.177,191.115,-25.168,1820.059814
10 Jun 2022 22:40:30.790,85.364,-25.076,1836.673759
10 Jun 2022 22:40:36.391,86.681,-25.080,1835.940905
10 Jun 2022 22:40:41.992,87.998,-25.079,1836.104735
11 Jun 2022 09:19:52.267,352.639,-25.169,1819.930428
11 Jun 2022 09:20:52.000,349.252,-28.591,1423.437712
11 Jun 2022 09:21:52.000,342.617,-35.744,1052.663820
11 Jun 2022 09:22:52.000,325.220,-49.824,753.816830
11 Jun 2022 09:23:52.000,266.556,-62.001,639.271019
11 Jun 2022 09:24:52.000,216.472,-47.001,793.598195
11 Jun 2022 09:25:52.000,202.018,-34.217,1109.226625
11 Jun 2022 09:26:52.000,196.179,-27.858,1485.773113
11 Jun 2022 09:27:45.935,193.349,-25.031,1844.876377
11 Jun 2022 20:58:31.732,342.642,-25.032,1844.702092
11 Jun 2022 20:59:31.000,338.239,-28.163,1458.871038
11 Jun 2022 21:00:31.000,329.867,-34.482,1098.829715
11 Jun 2022 21:01:31.000,310.435,-45.719,814.011415
11 Jun 2022 21:02:31.000,263.328,-54.096,704.678148
11 Jun 2022 21:03:31.000,219.884,-44.070,842.823105
11 Jun 2022 21:04:31.000,202.602,-33.434,1141.643982
11 Jun 2022 21:05:31.000,194.922,-27.621,1507.751287
11 Jun 2022 21:06:18.775,191.428,-25.168,1820.074203
11 Jun 2022 22:36:55.082,80.904,-25.071,1837.600280
11 Jun 2022 22:37:19.604,86.678,-25.125,1827.737738
11 Jun 2022 22:37:44.127,92.459,-25.084,1835.107037
12 Jun 2022 09:16:34.971,352.947,-25.169,1819.922590
12 Jun 2022 09:17:34.000,349.708,-28.540,1427.476629
12 Jun 2022 09:18:34.000,343.312,-35.666,1055.346163
12 Jun 2022 09:19:34.000,326.492,-49.834,753.689237
12 Jun 2022 09:20:34.000,267.603,-62.726,634.563784
12 Jun 2022 09:21:34.000,216.061,-47.493,786.174194
12 Jun 2022 09:22:34.000,201.625,-34.416,1101.373642
12 Jun 2022 09:23:34.000,195.867,-27.943,1478.059075
12 Jun 2022 09:24:29.049,193.045,-25.031,1844.888356
12 Jun 2022 20:55:14.924,342.333,-25.032,1844.687208
12 Jun 2022 20:56:14.000,337.859,-28.140,1460.780151
12 Jun 2022 20:57:14.000,329.354,-34.406,1101.756913
12 Jun 2022 20:58:14.000,309.778,-45.454,818.442716
12 Jun 2022 20:59:14.000,263.301,-53.553,710.297230
12 Jun 2022 21:00:14.000,220.437,-43.797,847.905441
12 Jun 2022 21:01:14.000,203.056,-33.341,1145.649051
12 Jun 2022 21:02:14.000,195.269,-27.587,1510.950011
12 Jun 2022 21:03:01.364,191.740,-25.168,1820.089127
12 Jun 2022 22:33:28.631,78.613,-25.068,1838.058186
12 Jun 2022 22:34:28.000,92.641,-25.127,1827.377720
12 Jun 2022 22:34:37.005,94.751,-25.087,1834.582384
13 Jun 2022 09:13:17.683,353.255,-25.169,1819.915244
13 Jun 2022 09:14:17.000,350.091,-28.570,1425.097022
13 Jun 2022 09:15:17.000,343.850,-35.754,1052.320543
13 Jun 2022 09:16:17.000,327.285,-50.140,749.761847
13 Jun 2022 09:17:17.000,267.310,-63.405,630.319003
13 Jun 2022 09:18:17.000,215.227,-47.698,783.135157
13 Jun 2022 09:19:17.000,201.089,-34.464,1099.508996
13 Jun 2022 09:20:17.000,195.487,-27.956,1476.917689
13 Jun 2022 09:21:12.159,192.742,-25.031,1844.916678
13 Jun 2022 20:51:58.121,342.025,-25.032,1844.672079
13 Jun 2022 20:52:58.000,337.379,-28.191,1456.438558
13 Jun 2022 20:53:58.000,328.638,-34.471,1099.233823
13 Jun 2022 20:54:58.000,308.622,-45.398,819.383829
13 Jun 2022 20:55:58.000,262.352,-52.988,716.319257
13 Jun 2022 20:56:58.000,220.534,-43.318,857.036985
13 Jun 2022 20:57:58.000,203.322,-33.119,1155.404385
13 Jun 2022 20:58:58.000,195.521,-27.487,1520.582532
13 Jun 2022 20:59:43.944,192.054,-25.168,1820.103240
13 Jun 2022 22:30:04.396,76.839,-25.066,1838.402470
13 Jun 2022 22:31:04.000,90.959,-25.196,1815.086551
13 Jun 2022 22:31:27.663,96.527,-25.089,1834.169786
14 Jun 2022 09:10:00.402,353.562,-25.169,1819.908388
14 Jun 2022 09:11:00.000,350.475,-28.599,1422.778205
14 Jun 2022 09:12:00.000,344.392,-35.840,1049.371461
14 Jun 2022 09:13:00.000,328.097,-50.444,745.929627
14 Jun 2022 09:14:00.000,267.000,-64.093,626.177987
14 Jun 2022 09:15:00.000,214.381,-47.900,780.185824
14 Jun 2022 09:16:00.000,200.550,-34.511,1097.709614
14 Jun 2022 09:17:00.000,195.105,-27.969,1475.823327
14 Jun 2022 09:17:55.262,192.439,-25.031,1844.935021
14 Jun 2022 20:48:41.324,341.715,-25.032,1844.656704
14 Jun 2022 20:49:41.000,336.999,-28.168,1458.451617
14 Jun 2022 20:50:41.000,328.129,-34.392,1102.301878
14 Jun 2022 20:51:41.000,307.991,-45.129,823.986865
14 Jun 2022 20:52:41.000,262.343,-52.463,722.088038
14 Jun 2022 20:53:41.000,221.063,-43.051,862.245465
14 Jun 2022 20:54:41.000,203.765,-33.027,1159.523870
14 Jun 2022 20:55:41.000,195.863,-27.453,1523.881497
14 Jun 2022 20:56:26.517,192.367,-25.168,1820.122793
14 Jun 2022 22:26:41.330,75.335,-25.065,1838.688639
14 Jun 2022 22:27:41.000,89.492,-25.257,1804.536776
14 Jun 2022 22:28:17.151,98.032,-25.091,1833.820719
15 Jun 2022 09:06:43.129,353.868,-25.169,1819.902021
15 Jun 2022 09:07:43.000,350.861,-28.627,1420.520833
15 Jun 2022 09:08:43.000,344.938,-35.924,1046.499900
15 Jun 2022 09:09:43.000,328.929,-50.745,742.194310
15 Jun 2022 09:10:43.000,266.671,-64.790,622.142866
15 Jun 2022 09:11:43.000,213.523,-48.099,777.327063
15 Jun 2022 09:12:43.000,200.010,-34.555,1095.975567
15 Jun 2022 09:13:43.000,194.724,-27.980,1474.775802
15 Jun 2022 09:14:38.354,192.137,-25.031,1844.917725
15 Jun 2022 20:45:24.533,341.406,-25.032,1844.641076
15 Jun 2022 20:46:24.000,336.621,-28.144,1460.510327
15 Jun 2022 20:47:24.000,327.623,-34.313,1105.429714
15 Jun 2022 20:48:24.000,307.372,-44.859,828.660821
15 Jun 2022 20:49:24.000,262.334,-51.946,727.926606
15 Jun 2022 20:50:24.000,221.581,-42.785,867.523942
15 Jun 2022 20:51:24.000,204.203,-32.935,1163.707193
15 Jun 2022 20:52:24.000,196.202,-27.419,1527.235071
15 Jun 2022 20:53:09.081,192.681,-25.168,1820.142687
15 Jun 2022 22:23:19.020,74.005,-25.063,1838.937381
15 Jun 2022 22:24:19.000,88.248,-25.312,1795.214868
15 Jun 2022 22:25:05.876,99.363,-25.093,1833.505655
16 Jun 2022 09:03:25.864,354.175,-25.169,1819.896139
16 Jun 2022 09:04:25.000,351.312,-28.573,1424.853358
16 Jun 2022 09:05:25.000,345.630,-35.834,1049.572810
16 Jun 2022 09:06:25.000,330.246,-50.714,742.574325
16 Jun 2022 09:07:25.000,267.875,-65.556,617.890390
16 Jun 2022 09:08:25.000,213.038,-48.604,770.191705
16 Jun 2022 09:09:25.000,199.592,-34.756,1088.323806
16 Jun 2022 09:10:25.000,194.401,-28.066,1467.209452
16 Jun 2022 09:11:21.448,191.834,-25.031,1844.943569
16 Jun 2022 20:42:07.748,341.096,-25.033,1844.625197
16 Jun 2022 20:43:07.000,336.243,-28.119,1462.614978
16 Jun 2022 20:44:07.000,327.121,-34.232,1108.617247
16 Jun 2022 20:45:07.000,306.765,-44.591,833.404774
16 Jun 2022 20:46:07.000,262.324,-51.439,733.833276
16 Jun 2022 20:47:07.000,222.088,-42.521,872.870853
16 Jun 2022 20:48:07.000,204.637,-32.842,1167.953243
16 Jun 2022 20:49:07.000,196.541,-27.385,1530.642415
16 Jun 2022 20:49:51.636,192.996,-25.167,1820.162918
16 Jun 2022 22:19:57.249,72.800,-25.062,1839.160698
16 Jun 2022 22:20:57.000,86.991,-25.363,1786.678833
16 Jun 2022 22:21:54.057,100.569,-25.095,1833.215973
17 Jun 2022 09:00:08.607,354.481,-25.169,1819.890745
17 Jun 2022 09:01:08.000,351.699,-28.599,1422.728825
17 Jun 2022 09:02:08.000,346.181,-35.913,1046.871318
17 Jun 2022 09:03:08.000,331.112,-51.003,739.051863
17 Jun 2022 09:04:08.000,267.558,-66.275,614.063767
17 Jun 2022 09:05:08.000,212.148,-48.799,767.494274
17 Jun 2022 09:06:08.000,199.044,-34.799,1086.706046
17 Jun 2022 09:07:08.000,194.016,-28.077,1466.245992
17 Jun 2022 09:08:04.535,191.532,-25.031,1844.967021
17 Jun 2022 20:38:50.969,340.785,-25.033,1844.609066
17 Jun 2022 20:39:50.000,335.867,-28.094,1464.765654
17 Jun 2022 20:40:50.000,326.623,-34.151,1111.864184
17 Jun 2022 20:41:50.000,306.169,-44.323,838.217624
17 Jun 2022 20:42:50.000,262.314,-50.940,739.806285
17 Jun 2022 20:43:50.000,222.584,-42.258,878.284641
17 Jun 2022 20:44:50.000,205.067,-32.748,1172.260962
17 Jun 2022 20:45:50.000,196.877,-27.350,1534.102772
17 Jun 2022 20:46:34.184,193.311,-25.167,1820.183481
17 Jun 2022 22:16:35.893,71.688,-25.061,1839.359243
17 Jun 2022 22:17:35.000,85.720,-25.410,1778.940306
17 Jun 2022 22:18:35.000,100.116,-25.159,1821.619111
17 Jun 2022 22:18:41.827,101.682,-25.096,1832.953915
18 Jun 2022 08:56:51.358,354.787,-25.169,1819.885835
18 Jun 2022 08:57:51.000,352.087,-28.625,1420.667496
18 Jun 2022 08:58:51.000,346.737,-35.990,1044.249861
18 Jun 2022 08:59:51.000,331.997,-51.288,735.630882
18 Jun 2022 09:00:51.000,267.220,-67.002,610.348947
18 Jun 2022 09:01:51.000,211.245,-48.989,764.889762
18 Jun 2022 09:02:51.000,198.493,-34.840,1085.153598
18 Jun 2022 09:03:51.000,193.631,-28.088,1465.328524
18 Jun 2022 09:04:47.616,191.230,-25.031,1844.977175
18 Jun 2022 20:35:34.196,340.474,-25.033,1844.592681
18 Jun 2022 20:36:34.000,335.381,-28.141,1460.747010
18 Jun 2022 20:37:34.000,325.907,-34.203,1109.791365
18 Jun 2022 20:38:34.000,305.070,-44.240,839.722653
18 Jun 2022 20:39:34.000,261.468,-50.416,746.271000
18 Jun 2022 20:40:34.000,222.636,-41.813,887.691763
18 Jun 2022 20:41:34.000,205.304,-32.535,1182.248429
18 Jun 2022 20:42:34.000,197.113,-27.252,1543.943195
18 Jun 2022 20:43:16.723,193.626,-25.167,1820.204379
18 Jun 2022 22:13:14.862,70.651,-25.060,1839.545534
18 Jun 2022 22:14:14.000,84.682,-25.455,1771.703657
18 Jun 2022 22:15:14.000,99.203,-25.241,1807.247961
18 Jun 2022 22:15:29.265,102.721,-25.097,1832.707349
19 Jun 2022 08:53:34.117,355.093,-25.169,1819.881409
19 Jun 2022 08:54:34.000,352.476,-28.651,1418.669622
19 Jun 2022 08:55:34.000,347.296,-36.066,1041.708985
19 Jun 2022 08:56:34.000,332.902,-51.568,732.312691
19 Jun 2022 08:57:34.000,266.859,-67.738,606.747800
19 Jun 2022 08:58:34.000,210.329,-49.175,762.378946
19 Jun 2022 08:59:34.000,197.941,-34.880,1083.666593
19 Jun 2022 09:00:34.000,193.246,-28.098,1464.457008
19 Jun 2022 09:01:30.692,190.929,-25.031,1844.987108
19 Jun 2022 20:32:17.430,340.162,-25.033,1844.576041
19 Jun 2022 20:33:17.000,335.005,-28.115,1463.004014
19 Jun 2022 20:34:17.000,325.414,-34.118,1113.178222
19 Jun 2022 20:35:17.000,304.499,-43.969,844.697151
19 Jun 2022 20:36:17.000,261.471,-49.935,752.376075
19 Jun 2022 20:37:17.000,223.112,-41.557,893.216860
19 Jun 2022 20:38:17.000,205.724,-32.442,1186.660108
19 Jun 2022 20:39:17.000,197.444,-27.218,1547.496255
19 Jun 2022 20:39:59.251,193.943,-25.167,1820.211312
19 Jun 2022 22:09:54.104,69.676,-25.059,1839.714074
19 Jun 2022 22:10:54.000,83.881,-25.500,1764.599513
19 Jun 2022 22:11:54.000,98.510,-25.315,1794.676726
19 Jun 2022 22:12:16.429,103.698,-25.099,1832.472742
20 Jun 2022 08:50:16.884,355.398,-25.169,1819.877467
20 Jun 2022 08:51:16.000,352.923,-28.592,1423.298654
20 Jun 2022 08:52:16.000,347.982,-35.963,1045.177390
20 Jun 2022 08:53:16.000,334.253,-51.491,733.218086
20 Jun 2022 08:54:16.000,268.274,-68.542,602.987830
20 Jun 2022 08:55:16.000,209.764,-49.690,755.554652
20 Jun 2022 08:56:16.000,197.498,-35.081,1076.224089
20 Jun 2022 08:57:16.000,192.911,-28.184,1457.039977
20 Jun 2022 08:58:13.762,190.627,-25.031,1844.996821
20 Jun 2022 20:29:00.669,339.850,-25.033,1844.559145
20 Jun 2022 20:30:00.000,334.631,-28.088,1465.306149
20 Jun 2022 20:31:00.000,324.924,-34.033,1116.622613
20 Jun 2022 20:32:00.000,303.939,-43.700,849.736542
20 Jun 2022 20:33:00.000,261.474,-49.463,758.542389
20 Jun 2022 20:34:00.000,223.578,-41.304,898.805020
20 Jun 2022 20:35:00.000,206.139,-32.349,1191.131277
20 Jun 2022 20:36:00.000,197.774,-27.183,1551.101171
20 Jun 2022 20:36:41.773,194.259,-25.167,1820.235232
20 Jun 2022 22:06:33.569,68.751,-25.058,1839.875486
20 Jun 2022 22:07:33.000,82.826,-25.540,1758.313196
20 Jun 2022 22:08:33.000,97.568,-25.397,1781.080636
20 Jun 2022 22:09:03.365,104.624,-25.100,1832.249781
21 Jun 2022 08:46:59.659,355.704,-25.169,1819.874003
21 Jun 2022 08:47:59.000,353.312,-28.616,1421.434447
21 Jun 2022 08:48:59.000,348.545,-36.033,1042.809139
21 Jun 2022 08:49:59.000,335.189,-51.756,730.121484
21 Jun 2022 08:50:59.000,267.931,-69.300,599.611266
21 Jun 2022 08:51:59.000,208.814,-49.870,753.214288
21 Jun 2022 08:52:59.000,196.938,-35.119,1074.856669
21 Jun 2022 08:53:59.000,192.523,-28.193,1456.253584
21 Jun 2022 08:54:56.828,190.326,-25.030,1845.006316
21 Jun 2022 20:25:43.915,339.538,-25.033,1844.541991
21 Jun 2022 20:26:43.000,334.257,-28.061,1467.652909
21 Jun 2022 20:27:43.000,324.438,-33.947,1120.123750
21 Jun 2022 20:28:43.000,303.390,-43.432,854.839508
21 Jun 2022 20:29:43.000,261.475,-48.998,764.768457
21 Jun 2022 20:30:43.000,224.034,-41.052,904.455230
21 Jun 2022 20:31:43.000,206.551,-32.256,1195.661508
21 Jun 2022 20:32:43.000,198.101,-27.147,1554.757858
21 Jun 2022 20:33:24.286,194.576,-25.167,1820.259270
21 Jun 2022 22:03:13.230,67.869,-25.057,1840.026557
21 Jun 2022 22:04:13.000,82.010,-25.581,1751.945241
21 Jun 2022 22:05:13.000,96.851,-25.471,1769.104028
21 Jun 2022 22:05:50.103,105.507,-25.101,1832.036864
22 Jun 2022 08:43:42.441,356.009,-25.169,1819.871019
22 Jun 2022 08:44:42.000,353.704,-28.638,1419.633412
22 Jun 2022 08:45:42.000,349.111,-36.101,1040.522035
22 Jun 2022 08:46:42.000,336.145,-52.016,727.130724
22 Jun 2022 08:47:42.000,267.561,-70.065,596.354241
22 Jun 2022 08:48:42.000,207.853,-50.045,750.971129
22 Jun 2022 08:49:42.000,196.376,-35.154,1073.556370
22 Jun 2022 08:50:42.000,192.135,-28.202,1455.514221
22 Jun 2022 08:51:39.888,190.025,-25.030,1845.015593
22 Jun 2022 20:22:27.166,339.225,-25.033,1844.524577
22 Jun 2022 20:23:27.000,333.767,-28.104,1463.899411
22 Jun 2022 20:24:27.000,323.724,-33.989,1118.416809
22 Jun 2022 20:25:27.000,302.336,-43.330,856.789321
22 Jun 2022 20:26:27.000,260.701,-48.505,771.566384
22 Jun 2022 20:27:27.000,224.058,-40.633,914.062594
22 Jun 2022 20:28:27.000,206.765,-32.051,1205.818679
22 Jun 2022 20:29:27.000,198.324,-27.052,1564.753270
22 Jun 2022 20:30:06.789,194.894,-25.167,1820.267700
22 Jun 2022 21:59:53.059,67.026,-25.057,1840.168748
22 Jun 2022 22:00:53.000,81.187,-25.620,1745.902079
22 Jun 2022 22:01:53.000,96.124,-25.546,1757.391019
